"","metric","Threshold40","Threshold50","Threshold60","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","H_ASCI_d_ds_mag_50_0.86_Positive",10.9759457748749,3.52765188311036,0.388193656232124,240,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"2","H_ASCI_d_fa_mag_0.86_Positive",245.669463083764,80.5975522712965,8.87410764245216,250,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"3","H_ASCI_d_peak_10_0.86_Positive",NA,NA,NA,131,"Positive","ASCI","H_ASCI",0.86,"Peak_10"
"4","H_ASCI_d_peak_2_0.86_Positive",NA,NA,NA,54,"Positive","ASCI","H_ASCI",0.86,"Peak_2"
"5","H_ASCI_d_peak_5_0.86_Positive",NA,NA,NA,96,"Positive","ASCI","H_ASCI",0.86,"Peak_5"
"6","H_ASCI_d_sp_mag_0.86_Positive",483.707918251024,159.184097960753,15.9384167423215,232,"Positive","ASCI","H_ASCI",0.86,"SP_Mag"
"7","H_ASCI_d_wet_bfl_mag_10_0.86_Positive",16.0362870649559,5.36162692117574,0.792305535376002,202,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"8","H_ASCI_d_wet_bfl_mag_50_0.86_Positive",31.9773861800458,10.3284594807663,1.05527065559881,204,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"9","H_ASCI_delta_q99_0.86_Positive",624.394513771342,841.637936419684,985.91855021202,29,"Positive","ASCI","H_ASCI",0.86,"Q99"
"10","H_ASCI_d_ds_mag_50_0.86_Negative",-4.49969211400143,-1.7328674616023,-0.585310710313283,35,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_50"
"11","H_ASCI_d_fa_mag_0.86_Negative",-1.40186417643384,-0.591128777765477,-0.358562867637452,25,"Negative","ASCI","H_ASCI",0.86,"FA_Mag"
"12","H_ASCI_d_peak_10_0.86_Negative",-1432.5241142132,-451.097949925214,-45.6698926967235,144,"Negative","ASCI","H_ASCI",0.86,"Peak_10"
"13","H_ASCI_d_peak_2_0.86_Negative",-324.18568719672,-108.751150547173,-15.3653162376427,221,"Negative","ASCI","H_ASCI",0.86,"Peak_2"
"14","H_ASCI_d_peak_5_0.86_Negative",-1276.87995000855,-393.881881425115,-39.7570314007779,179,"Negative","ASCI","H_ASCI",0.86,"Peak_5"
"15","H_ASCI_d_sp_mag_0.86_Negative",-174.187295619607,-58.3347690705048,-12.7934912110825,43,"Negative","ASCI","H_ASCI",0.86,"SP_Mag"
"16","H_ASCI_d_wet_bfl_mag_10_0.86_Negative",-15.0306759376775,-4.8515872911705,-0.77982116339671,73,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"17","H_ASCI_d_wet_bfl_mag_50_0.86_Negative",-83.7084112532826,-22.7622930659072,-2.52923788867653,71,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"18","H_ASCI_delta_q99_0.86_Negative",-450.978770902679,-143.352545871104,-14.7555191093033,246,"Negative","ASCI","H_ASCI",0.86,"Q99"
